úZethQuark Versi¢n 7.0ú                                               07/05/2025
POL.LOS ANGELES  PRODUCTOS VENDIDOS DEL 07/04/2025 AL 07/05/2025        19:32:21
PRT123()                                                              Pag.-    1
--------------------------------------------------------------------------------
         DESCRIPCION DEL PRODUCTO            STOCK           VENTA        RESP.
--------------------------------------------------------------------------------
A200                                          999              1           CLA
ABOCAT #20                                     20              5           ELI
ABOCAT #22                                     40             18           ELI
ABOCAT #24                                    357             60           CLA
ACICLAV 500MG+125MG TAB                       128              8           CLA
ACIDO FUSIDICO 2% CREMA X15G                    5              1           MAR
ADENOVIRUS HECES                             9999              1           FAB
AERO-SIM 80MG/1ML GOTAS X15ML FRESA             7              1           FAB
AFLORAC 2000MILLONES/5ML AMP.BEBIBLE           54              6           CLA
AFTOTEX SOLUCION SPRAY X30ML                    2              2           CLA
AGLUTINACIONES                               8686             33           CLA
AGUA ESTERIL PARA INYEC.AMP                   115             24           CLA
AGUJA #18                                     392            350           CLA
AGUJA #21                                     349              4           CLA
AGUJA #22                                     229              6           CLA
AGUJA #23                                      33             14           CLA
ALBENDAZOL 200MG TAB                           48             10           CLA
ALBUMINA SUERO                                994              1           CLA
ALERCHECK PLUS 10MG CAP                       166             77           CLA
ALERGIZINA 5MG/5ML JRBE X60ML                   0              3           MAR
AMBROXOL 30MG/5ML ADULTO JRBE X120ML            3              1           CLA
AMIKACINA 500MG/2ML (IM/IV) AMP               102             71           CLA
ANEURIN 25 000 SOLUCION INYECTABLE              2              2           CLA
ASCORBIC PROMOCION                            100             51           CLA
ASO LATEX                                     975              1           CLA
ASSA 81MG TAB                                   0             20           CLA
ATORVASTATINA 20MG TAB BLSTX10                 36              4           ELI
AZIMUT 200MG/5ML SUSP.ORAL X30ML                4              2           CLA
AZITROMICINA 500MG TAB                         29             13           ELI
BACTAMOX 500MG TAB                             35             56           CLA
BANES 100MG/5ML SUSP.ORAL X60ML                 6              8           CLA
BATA DESCARTABLE                               28              1           CLA
BENCILPENIC BENZATINICA 1200000 AMP            30              2           CLA
BENCILPENIC PROCAINICA 1000000 AMP             71             25           CLA
BETAMETASONA 4MG/1ML AMP                       17              6           CLA
BIONIS 15MG/5ML SOL.ORAL X100ML                 3              1           FAB
BISTURI #10                                    14              2           CLA
BK DIRECTO                                    890              5           ELI
BONACOXIB 90MG TAB                             55              7           FAB
BONAZOL 40MG TAB                              315            169           CLA
BROMELIN 0,88GR SUSP X100ML                     9             14           ELI
BROMURO DE IPRATROPIO 20MCG/D AEROSOL           5              1           MAR
BRONCODEX COMPUESTO JRBE X120ML                 8              2           FAB
CANULA BINASAL L (ADULTO)                      59              1           FAB
CAPTOPRIL 25MG TAB BLSTX10                     10              1           FAB
CARNET DE SANIDAD HUAURA                     9994              3           ELI
CARNET DE SANIDAD SANTA MARIA                9998              1           CLA
CEFMARK 500MG CAP                              76             24           CLA
CEFTRIAXONA 1G AMP                             54             44           CLA
CELEPOXX 200MG CAP                            166             34           CLA
CERT. MEDICO DOCUMENTO                       9998              1           MAR
CERT. MEDICO LLENADO                         9997              3           ELI
CIPROFLOXACINO 500MG TAB BLSTX10               10              3           EFR
CLARITROX 500MG TAB                           328             92           ELI
CLAVUTRIM 250MG/5ML SUSP X60ML                  3              2           ELIúZethQuark Versi¢n 7.0ú                                               07/05/2025
POL.LOS ANGELES  PRODUCTOS VENDIDOS DEL 07/04/2025 AL 07/05/2025        19:32:33
PRT123()                                                              Pag.-    2
--------------------------------------------------------------------------------
         DESCRIPCION DEL PRODUCTO            STOCK           VENTA        RESP.
--------------------------------------------------------------------------------
CLAVUTRIM CL PPS 250MG+62.5MG/5ML X60ML         4              2           ELI
CLOBULER 15MG/5ML JRBE X100ML                   4              1           FAB
CLORFEDAN 10MG/1ML (IM/IV) AMP                 17              2           FAB
CLORFENAMINA 2MG/5ML SOL.ORAL X60ML             2              2           FAB
CLORFENAMINA 4MG BLSTX10                       10              2           CLA
CLORURO DE SODIO 0,9% X100ML                  130            177           CLA
CLORURO DE SODIO 0,9% X250ML                  132             41           CLA
COLAG HP 420GR VAINILLA                         1              4           CLA
COLESTEROL                                    924              1           CLA
CONSULTA MEDICINA GENERAL DR B.BAYONA           0             14           FAB
CONSULTA MEDICINA GENERAL DR M.DIAZ           992              8           CLA
CONSULTA MEDICINA GENERAL DR M.MOLINA         729            170           CLA
CONSULTA MEDICINA GENERAL DRA K.TORRES        983             14           ELI
CONSULTA MEDICINA GENERAL DRA M.MAITA           0              3           CLA
CONSULTA TRAUMATOLOGIA DR E.HERNANDEZ         972              1           CLA
COPROCULTIVO                                  964              1           CLA
COPROLOGICO FUNCIONAL                         727              4           CLA
CREATINA                                      871              1           CLA
CREATININA                                    996              5           CLA
CULTIVO DE SEC.VAGINAL                        953              1           CLA
CULTIVO DE SECRECION FARINGEA                 930              1           CLA
CURACION                                      930              1           MAR
DESAZONA 4MG TAB                               94              6           FAB
DEXCORTIL 4MG/2ML (IM/IV) AMP                  12             14           CLA
DEXIDE SR 1000 TAB                            131             27           ELI
DI-PROKET 150MG CAP                            94              6           FAB
DICLOFIX 75MG/3ML (IM) AMP                     87             48           CLA
DIMENS 5MG/5ML JRBE X120ML                      3              3           ELI
DOLOL 100MG/1ML GOTAS X15ML                     4              1           ELI
DOLOL 160MG/5ML JRBE X60ML                      9              1           ELI
DRENAJE DE ABCESO 1CM                         999              1           CLA
DRENAJE DE ABCESO PEQUE;O MENOR DE 2 CM       498              1           CLA
DULERGINA 5MG/5ML JRBE X100ML                  17              3           CLA
ENALAPRIL 20MG TAB BLSTX10                      2              2           CLA
ENDOVENOSO INSULINA ISOFANA HUMANA              0              1           MAR
ENDOVENOSO INTERNO                          44942            114           CLA
ENTEROGERMINA AMP.BEBIBLE                       0             22           FAB
EQUIPO DE VENOCLISIS 20GOT/ML                 264             87           CLA
EQUIPO MICROGOTERO CON VOLUTROL 100ML          13              5           CLA
ESPECULO TALLA M                               10              1           CLA
EXTRACCION DE U¥AS X1                        9994              1           MAR
FACTOR REUMATOIDE CUANTITATIVO                946              1           CLA
FLEX 4MG TAB                                    0             30           CLA
FLOREA CAP                                     14             44           FAB
FLUIMEXINA 600MG SOB                          194             20           MAR
FOSFUROL 3G SOB X1                              3              1           EFR
FOSTER INHALADOR                                1              1           ELI
FRASCO PARA M.HECES                           126             63           CLA
FRASCO PARA M.ORINA                           202             61           CLA
