úZethQuark Versi¢n 7.0ú                                               15/05/2025
POL.LOS ANGELES  PRODUCTOS VENDIDOS DEL 15/04/2025 AL 15/05/2025        18:37:48
PRT123()                                                              Pag.-    1
--------------------------------------------------------------------------------
         DESCRIPCION DEL PRODUCTO            STOCK           VENTA        RESP.
--------------------------------------------------------------------------------
A200                                          999              1           CLA
ABOCAT #20                                     20              4           ELI
ABOCAT #22                                     39             17           CLA
ABOCAT #24                                    330             78           MAR
ACICLAV 500MG+125MG TAB                        85             23           ELI
ACIDO FUSIDICO 2% CREMA X15G                    4              2           ELI
ADENOVIRUS HECES                             9999              1           FAB
AEROCAMARA (ADULTO)                             9              1           CLA
AFLORAC 2000MILLONES/5ML AMP.BEBIBLE           54              6           CLA
AFTOTEX SOLUCION SPRAY X30ML                    4              2           CLA
AGLUTINACIONES                               8680             34           MAR
AGUA ESTERIL PARA INYEC.AMP                    98             43           MAR
AGUJA #18                                     190            399           MAR
AGUJA #22                                     229              6           CLA
AGUJA #23                                      33              9           CLA
ALBENDAZOL 200MG TAB                           48              6           CLA
ALERCHECK PLUS 10MG CAP                        96            112           MAR
ALERGIZINA 5MG/5ML JRBE X60ML                   0              2           MAR
AMBROXOL 30MG/5ML ADULTO JRBE X120ML            3              1           CLA
AMIKACINA 500MG/2ML (IM/IV) AMP               142             70           MAR
ANEURIN 25 000 SOLUCION INYECTABLE              2              2           CLA
ASCORBIC PROMOCION                             76             51           ELI
ASO LATEX                                     975              1           CLA
ASSA 81MG TAB                                   8             20           CLA
ATORVASTATINA 20MG TAB BLSTX10                 36              4           ELI
AZIMUT 200MG/5ML SUSP.ORAL X30ML                7              2           CLA
AZITROMICINA 500MG TAB                         29             10           ELI
BACTAMOX 500MG TAB                            335             56           CLA
BANES 100MG/5ML SUSP.ORAL X60ML                40             10           CLA
BATA DESCARTABLE                               28              1           CLA
BENCILPENIC BENZATINICA 1200000 AMP            30              2           CLA
BENCILPENIC PROCAINICA 1000000 AMP             48             38           MAR
BETAMETASONA 4MG/1ML AMP                       10              8           EFR
BIONIS 15MG/5ML SOL.ORAL X100ML                 3              1           FAB
BISTURI #10                                    14              1           CLA
BK DIRECTO                                    888              7           CLA
BONACOXIB 90MG TAB                             55              7           FAB
BONAZOL 40MG TAB                              162            262           MAR
BROMELIN 0,88GR SUSP X100ML                    49             15           MAR
BROMURO DE IPRATROPIO 20MCG/D AEROSOL           4              2           CLA
BRONCODEX COMPUESTO JRBE X120ML                 8              2           FAB
CAPTOPRIL 25MG TAB BLSTX10                      8              2           ELI
CARNET DE SANIDAD HUAURA                     9994              3           ELI
CARNET DE SANIDAD SANTA MARIA                9998              1           CLA
CEFMARK 500MG CAP                              36             24           CLA
CEFTRIAXONA 1G AMP                             44             59           MAR
CELEPOXX 200MG CAP                            158             42           ELI
CERT. MEDICO DOCUMENTO                          5              1           MAR
CERT. MEDICO LLENADO                         9997              2           ELI
CLARITROX 500MG TAB                           268            112           MAR
CLAVUTRIM 250MG/5ML SUSP X60ML                  3              2           ELI
CLAVUTRIM CL PPS 250MG+62.5MG/5ML X60ML         4              2           ELI
CLINDAMICINA 600MG/4ML AMP                     31              1           FAB
CLORFEDAN 10MG/1ML (IM/IV) AMP                 17              2           FAB
CLORFENAMINA 2MG/5ML SOL.ORAL X60ML             1              2           FABúZethQuark Versi¢n 7.0ú                                               15/05/2025
POL.LOS ANGELES  PRODUCTOS VENDIDOS DEL 15/04/2025 AL 15/05/2025        18:38:05
PRT123()                                                              Pag.-    2
--------------------------------------------------------------------------------
         DESCRIPCION DEL PRODUCTO            STOCK           VENTA        RESP.
--------------------------------------------------------------------------------
CLORFENAMINA 4MG BLSTX10                       10              1           CLA
CLORURO DE SODIO 0,9% X100ML                    9            190           MAR
CLORURO DE SODIO 0,9% X250ML                  109             42           MAR
COLAG HP 420GR VAINILLA                         0              4           ELI
COLESTEROL                                    923              1           CLA
CONSULTA MEDICINA GENERAL DR B.BAYONA           0              3           FAB
CONSULTA MEDICINA GENERAL DR M.DIAZ           992              9           ELI
CONSULTA MEDICINA GENERAL DR M.MOLINA         689            182           MAR
CONSULTA MEDICINA GENERAL DRA K.TORRES        980             15           FAB
CONSULTA MEDICINA GENERAL DRA M.MAITA           0              1           CLA
CONSULTA TRAUMATOLOGIA DR E.HERNANDEZ         972              2           CLA
COPROCULTIVO                                  963              2           CLA
COPROLOGICO FUNCIONAL                         726              5           CLA
CREATININA                                    994              6           ELI
CULTIVO DE SEC.VAGINAL                        953              1           CLA
CULTIVO DE SECRECION FARINGEA                 929              2           CLA
CULTIVO SECRECION OTICA                       993              1           CLA
CURACION                                      930              1           MAR
DEQUAZOL ORAL 250MG/5ML SUSP X120ML             2              1           CLA
DEXAFLAM NF 2MG/5ML JRBE X100ML                 3              1           MAR
DEXCORTIL 4MG/2ML (IM/IV) AMP                  79             32           MAR
DEXIDE SR 1000 TAB                            131             17           ELI
DEXTROSA 33.3% SOL.INY 20ML                     0              1           EFR
DEXTROSA 5% X1000ML                             3              1           EFR
DI-PROKET 150MG CAP                            94              6           FAB
DICLOFIX 75MG/3ML (IM) AMP                    162             55           MAR
DIMENS 5MG/5ML JRBE X120ML                      2              3           ELI
DOLOL 100MG/1ML GOTAS X15ML                     4              1           ELI
DOLOL 160MG/5ML JRBE X60ML                      7              1           ELI
DRENAJE DE ABCESO 1CM                         999              1           CLA
DRENAJE DE ABCESO PEQUE;O MENOR DE 2 CM       498              1           CLA
DULERGINA 5MG/5ML JRBE X100ML                  15              3           CLA
ENALAPRIL 20MG TAB BLSTX10                      1              3           CLA
ENDOVENOSO  EXTERNO                          9996              3           CLA
ENDOVENOSO INTERNO                          44913            124           MAR
EPINEFRINA 1MG/ML AMP                          34              1           MAR
EQUIPO DE VENOCLISIS 20GOT/ML                 216             97           MAR
EQUIPO MICROGOTERO CON VOLUTROL 100ML          12              5           EFR
ESPECULO TALLA M                               10              1           CLA
EXTRACCION DE U¥AS X1                        9994              1           MAR
FACTOR REUMATOIDE CUANTITATIVO                946              1           CLA
FLEX 4MG TAB                                   15             34           ELI
FLOREA CAP                                    264             60           CLA
FLUIMEXINA 600MG SOB                          101             73           ELI
FOSFUROL 3G SOB X1                              0              1           EFR
FOSTER INHALADOR                                6              1           ELI
FRASCO PARA M.HECES                           118             56           MAR
FRASCO PARA M.ORINA                           186             67           MAR
