úZethQuark Versi¢n 7.0ú                                               19/02/2022
POL.LOS ANGELES  PRODUCTOS VENDIDOS DEL 18/02/2022 AL 18/02/2022        09:44:57
PRT123()                                                              Pag.-    1
--------------------------------------------------------------------------------
         DESCRIPCION DEL PRODUCTO            STOCK           VENTA        RESP.
--------------------------------------------------------------------------------
ABOCAT#24 CAJAX50UNID                           1u37           0u3         ISA
AGLUTINACIONES                                231              1           ISA
AGUJA #18 CAJAX100UNID.                         1u17           0u5         SAN
ANEURIN 25 000 CAJA X 1AMPOLLAS                10              1           SAN
ASCORBIC-C + MATERIAL DE APLICACION             4              2           SAN
BK DIRECTO                                    895              2           ISA
CEFTRIAXONA 1g AMP CAJAX1OUNID                  2u5            0u4         ISA
CLORURO DE SODIO 100ML 0,9%                     0              1           ISA
CONSULT. PSICOLOGIA                           831              1           ISA
CONSULTA DR MARIO                            9760             11           SAN
CONSULTA SOU                                  893              1           ISA
CULTIVO DE HONGOS                             995              1           ISA
DENSITOMETRIA                                 961              1           ISA
DEXACORT 4MG/2ML CAJAX1 AMPOLLA                 7              2           ISA
DOLO LIVIOLEX 9MG/5ML SUSPX60ML                 2              1           SAN
ENDOVENOSO INTERNO CLINICA                    393              2           ISA
ENDOVENOSO PACIENTE CLINICA DOMICILIO         696              1           ISA
EQUIPO DE VENOCLISIS 20GOT/ML  CAJAX25UN        0u21           0u2         ISA
FENAZOPHARM 100MG CAJAX100TABLETAS              4u5            0u6         SAN
FRASCO DE HECES                                 9              6           SAN
FRASCO ORINA ESTERIL                           10              7           SAN
GLUCOSA                                      9685              2           ISA
HEMOG. GLICOSILADA                            610              1           ISA
HEMOGRAMA COMPLETO                            767              2           ISA
HEPABIONTA GRAGEAS CAJAX200                     0u78           0u20        SAN
JERINGA 10ML CAJAX100UNID.                      1u21           0u3         SAN
JERINGA 20ML CAJAX50UNID.                       0u39           0u2         ISA
LAVADO DE OIDO PROMOCION +MATERIALES          933              2           SAN
LLAVE TRIPLE VIA CAJAX200UNID.                  0u75           0u2         ISA
MICROALBUMINURIA ORINA SIMPLE                 686              1           ISA
MULCEROL/ESOMEPRAZOL 40 TAB CAJX30             12u29           0u10        SAN
NOTIL NF CREMA10G                               3              1           SAN
ORFENADRINA 60mg/2ml CAJAX25 AMPOLLAS           4              0u3         SAN
ORINA COMPLETA                                225              2           ISA
OTOZAMBON SOLUCION OTICA X10ML                  6              1           SAN
PARASITOLOGICO SIMPLE                        1621              3           SAN
PERFIL HEPATICO                               329              2           ISA
PERFIL LIPIDICO                               718              2           ISA
PERFIL RENAL                                  146              1           ISA
PERFIL REUMATICO                              670              1           ISA
PROFENID AMP 100MGx2ML CAJX6                    2              0u3         SAN
PROLACTINA                                    976              1           ISA
PRUEBA MOLECULAR                                5              1           ISA
RX MANO COMPARATIVO FRONTAL Y OBLICUAS       1995              1           ISA
RX RODILLA COMPART.BILATERAL FRONT Y LAT     1989              1           SAN
RX TORAX FRONTAL                              391              1           ISA
TERAPIA COVID                                 344              1           ISA
TRAUMATOLOGIA DR CORAL                        896              2           ISA
--------------------------------------------------------------------------------
T O T A L:    48
--------------------------------------------------------------------------------